subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3
1	2	2	275	666.389	1194.082	1196.898	1197.697	nan	nan	9,9,9,9,	1198.194,1198.776,1199.059,1199.329,	9	1200.699	54.64	149.62	81.75	223.87	1.875	0.799	3.035
1	2	2	276	666.389	1203.795	1206.244	1207.25	nan	nan	9,9,9,	1207.274,1207.640,1207.945,	9	1210.253	54.64	149.62	81.75	122.32	1.508	1.006	2.862
1	2	2	277	666.389	1213.175	1216.097	1217.253	nan	nan	8,8,	1217.524,1218.554,	8	1220.255	54.64	122.32	81.75	183.02	1.981	1.156	3.595
1	2	2	278	666.389	1223.911	1226.722	1228.567	nan	nan	9,9,9,9,9,9,9,	1228.814,1229.109,1229.394,1229.646,1229.951,1230.226,1230.467,	9	1231.569	66.83	149.62	81.75	183.02	1.87	1.846	3.569
1	2	2	279	666.389	1235.199	1237.47	1238.741	nan	nan	8,8,8,8,	1239.527,1239.936,1240.272,1240.617,	8	1241.743	44.67	149.62	81.75	183.02	1.33	1.272	3.524
1	2	2	280	666.389	1245.328	1247.092	1248.716	nan	nan	8,8,8,8,	1248.767,1249.112,1249.434,1249.728,	8	1251.718	54.64	122.32	66.83	149.62	0.823	1.624	2.624
1	2	2	281	666.389	1254.403	1256.717	1257.978	nan	nan	8,8,8,8,8,	1258.535,1258.886,1259.166,1259.466,1259.749,	8	1260.98	122.32	149.62	183.02	149.62	1.373	1.262	2.212
1	2	2	282	666.389	1263.254	1264.7	1266.608	nan	nan	8,8,8,8,8,	1267.254,1267.592,1267.902,1268.220,1268.557,	8	1269.61	66.83	122.32	81.75	223.87	0.505	1.908	2.785
1	2	2	283	666.389	1272.457	1274.611	1275.549	nan	nan	8,8,8,8,	1276.080,1276.445,1276.765,1277.078,	8	1278.551	54.64	149.62	81.75	183.02	1.214	0.939	3.267
1	2	2	284	666.389	1281.879	1284.304	1285.435	nan	nan	8,8,	1285.719,1286.167,	8	1288.437	44.67	122.32	66.83	183.02	1.484	1.132	3.588
1	2	2	285	666.389	1292.087	1294.541	1295.508	nan	nan	9,9,9,9,9,9,	1295.703,1296.047,1296.393,1296.757,1297.092,1297.363,	9	1298.51	66.83	183.02	81.75	223.87	1.513	0.968	3.016
1	2	2	286	666.389	1301.589	1303.675	1305.313	nan	nan	8,8,8,8,	1305.843,1306.181,1306.467,1307.029,	8	1308.314	44.67	122.32	54.64	183.02	1.146	1.638	2.463
1	2	2	287	666.389	1310.84	1313.201	1314.385	nan	nan	9,9,9,	1315.411,1315.789,1316.146,	9	1317.387	44.67	183.02	66.83	223.87	1.421	1.185	3.974
1	2	2	288	666.389	1321.424	1323.399	1324.796	nan	nan	8,8,	1326.248,1326.677,	8	1327.797	66.83	122.32	81.75	183.02	1.035	1.397	3.453
1	2	2	289	666.389	1331.314	1334.171	1335.452	nan	nan	8,8,8,	1336.753,1337.076,1337.356,	8	1338.454	66.83	149.62	81.75	223.87	1.918	1.281	2.289
1	2	2	290	666.389	1340.806	1343.283	1344.187	nan	nan	9,9,9,	1345.445,1345.759,1346.033,	9	1347.189	44.67	149.62	66.83	223.87	1.537	0.905	2.476
1	2	2	291	666.389	1349.728	1352.07	1353.688	nan	nan	9,9,9,	1354.580,1354.908,1355.198,	9	1356.69	44.67	149.62	66.83	183.02	1.402	1.619	3.698
1	2	2	292	666.389	1360.452	1362.397	1364.063	nan	nan	8,8,	1364.649,1365.271,	8	1367.065	44.67	122.32	81.75	223.87	1.006	1.667	2.881
1	2	2	293	666.389	1370.01	1372.495	1373.762	nan	nan	nan	nan	nan	nan	44.67	122.32	81.75	149.62	1.547	1.267	3.511
1	2	2	294	666.389	1380.349	1382.081	1383.396	nan	nan	8,	1383.946,	8	1386.398	44.67	122.32	81.75	183.02	0.794	1.315	2.225
1	2	2	295	666.389	1388.687	1390.169	1391.31	nan	nan	8,8,8,8,8,8,	1391.625,1392.007,1392.316,1392.613,1392.914,1393.218,	8	1394.311	54.64	183.02	66.83	122.32	0.543	1.141	2.958
1	2	2	296	666.389	1397.333	1399.38	1400.781	nan	nan	nan	nan	nan	nan	54.64	223.87	66.83	122.32	1.108	1.402	3.653
1	2	2	297	666.389	1407.511	1410.02	1412	nan	nan	8,8,8,8,	1412.428,1412.806,1413.143,1413.485,	8	1415.002	54.64	122.32	81.75	223.87	1.571	1.981	3.678
1	2	2	298	666.389	1418.745	1420.38	1421.131	nan	nan	9,9,9,9,	1421.718,1422.107,1422.491,1422.855,	9	1424.133	44.67	149.62	54.64	183.02	0.698	0.751	3.023
1	2	2	299	666.389	1427.22	1429.024	1430.17	nan	nan	nan	nan	nan	nan	44.67	183.02	54.64	223.87	0.867	1.146	3.788
1	2	2	300	666.389	1437.035	1439.452	1440.27	nan	nan	nan	nan	nan	nan	44.67	149.62	81.75	223.87	1.479	0.818	2.103
1	2	2	301	666.389	1445.449	1447.114	1449.017	nan	nan	9,9,9,	1449.299,1449.663,1450.034,	9	1452.019	44.67	149.62	54.64	223.87	0.727	1.904	2.495
1	2	2	302	666.389	1454.579	1456.856	1458.754	nan	nan	9,9,9,9,9,	1459.206,1459.551,1459.855,1460.142,1460.390,	9	1461.756	54.64	183.02	81.75	223.87	1.339	1.899	2.759
1	2	2	303	666.389	1464.579	1467.507	1469.333	nan	nan	8,	1469.624,	8	1472.335	44.67	223.87	66.83	122.32	1.99	1.826	2.367
1	2	2	304	666.389	1474.767	1477.164	1478.975	nan	nan	9,9,9,	1479.024,1479.376,1479.671,	9	1481.977	54.64	149.62	66.83	183.02	1.46	1.812	3.537
1	2	2	305	666.389	1485.579	1488.275	1489.952	nan	nan	nan	nan	nan	nan	54.64	149.62	66.83	223.87	1.759	1.677	2.977
1	2	2	306	666.389	1496.008	1498.679	1499.458	nan	nan	8,8,	1501.041,1501.376,	8	1502.459	44.67	149.62	66.83	149.62	1.735	0.78	3.556
1	2	2	307	666.389	1506.082	1508.141	1509.962	nan	nan	8,8,8,8,8,8,	1510.044,1510.620,1510.929,1511.236,1511.526,1511.812,	8	1512.963	81.75	122.32	66.83	183.02	1.122	1.822	3.775
1	2	2	308	666.389	1516.806	1518.472	1519.72	nan	nan	nan	nan	nan	nan	81.75	183.02	54.64	122.32	0.732	1.248	3.659
1	2	2	309	666.389	1526.458	1527.952	1528.972	nan	nan	8,8,8,	1529.373,1529.742,1530.090,	8	1531.974	66.83	223.87	44.67	183.02	0.558	1.021	2.605
1	2	2	310	666.389	1534.644	1537.146	1538.562	nan	nan	9,9,9,9,	1538.790,1539.058,1539.357,1539.639,	9	1541.564	54.64	223.87	44.67	122.32	1.566	1.416	2.328
1	2	2	311	666.389	1543.96	1546.156	1547.167	8	1550.184	nan	nan	nan	nan	81.75	149.62	54.64	183.02	1.262	1.011	2.315
1	2	2	312	666.389	1552.566	1555.308	1555.928	nan	nan	9,9,9,9,	1556.279,1556.648,1556.970,1557.779,	9	1558.93	81.75	149.62	54.64	122.32	1.807	0.621	2.527
